,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT
8602,22.035,22.035,22.025,22.025,12591.0,22.03066604625863,-9.565821133150584,62.886597938144,49.99999999999556,68.51851851851524,28.76712328767004,18.02451333814094,42.64868990992718,-14953.805362972578
8603,22.025,22.035,22.025,22.035,3636.0,22.03211069750576,-73.93713420775029,67.12328767123316,74.99999999999778,67.59259259258945,27.76617954070888,17.39735560194967,41.93723044341891,-14952.154511667242
8604,22.035,22.035,22.03,22.035,6271.0,22.03307379833717,-55.29878035741017,67.12328767123316,74.99999999999778,66.66666666666367,27.76617954070956,17.3973556019501,40.13445694573043,-14952.154511667242
8605,22.035,22.035,22.035,22.035,1748.0,22.033715865558115,-87.50388716324656,67.12328767123316,74.99999999999778,74.99999999999778,28.76712328767152,18.024513338141865,38.33168344804195,-14952.154511667242
8606,22.035,22.035,22.03,22.035,2520.0,22.03414391037208,-81.57403108285472,45.247148288974486,50.0,66.66666666666515,9.10763569457426,27.59889604416046,37.69007943801615,-14952.154511667242
8607,22.03,22.035,22.025,22.03,18967.0,22.03276260691472,36.096351653398095,45.247148288974486,33.333333333349124,52.77777777778226,4.507819687212003,32.19871205152272,38.476894961673686,-14956.4583464755
8608,22.035,22.04,22.03,22.035,6466.0,22.03350840460981,-50.85275461974732,53.5315985130129,66.66666666667456,50.00000000000785,9.008189262965344,28.389444949958147,38.39446783023762,-14954.990802217671
8609,22.035,22.035,22.03,22.035,3394.0,22.03400560307321,-73.99559186717372,44.44444444444532,66.66666666667456,55.55555555556604,9.437559580551811,28.598665395621097,38.41953048687947,-14954.990802217671
8610,22.03,22.035,22.025,22.03,12429.0,22.032670402048808,-5.705897079909874,44.44444444444532,33.333333333349124,55.55555555556604,9.008189262965054,31.8471337579695,38.81299745050262,-14957.811088126453
8611,22.03,22.035,22.03,22.03,13261.0,22.03178026803254,0.7619899118968915,44.44444444444532,33.333333333349124,44.44444444445757,9.437559580551492,33.365109628225184,39.50949471715596,-14957.811088126453
8612,22.035,22.035,22.03,22.03,1807.0,22.03118684535503,-86.0933854435892,44.44444444444532,33.333333333349124,33.333333333349124,9.437559580551492,33.365109628225184,40.56962834744581,-14957.811088126453
8613,22.035,22.035,22.03,22.035,3819.0,22.03245789690336,-70.65389033822179,55.55555555555468,66.66666666667456,44.44444444445757,9.909909909908691,25.02502502503208,41.635878238911616,-14956.944315543613
8614,22.035,22.035,22.03,22.03,3281.0,22.03163859793557,-74.33005298028789,50.0,33.333333333349124,44.44444444445757,9.909909909908691,25.02502502503208,42.70212813037744,-14957.688812934126
8615,22.035,22.035,22.025,22.025,27314.0,22.029425731957048,118.48607298600568,39.99999999999857,0.0,33.333333333341194,4.999999999999112,30.00000000000888,45.249230443757625,-14963.888086651788
8616,22.025,22.03,22.02,22.03,2861.0,22.029617154638032,-76.87638578691144,45.45454545454663,50.00000000000888,27.777777777785968,4.761904761903795,28.571428571436304,47.79633275713783,-14963.238597434987
8617,22.025,22.03,22.025,22.025,3232.0,22.02807810309202,-73.31344318785453,50.0,24.99999999999556,25.00000000000145,4.999999999998934,25.00000000000533,50.7102173659388,-14963.972142600673
8618,22.025,22.03,22.025,22.025,2468.0,22.02705206872801,-79.27870063683572,37.49999999999889,24.99999999999556,33.3333333333333,5.263157894735661,26.315789473689527,53.624101974739766,-14963.972142600673
8619,22.025,22.03,22.025,22.025,3479.0,22.02636804581868,-69.60948316903469,37.49999999999889,24.99999999999556,24.99999999999556,5.263157894735464,26.31578947368854,56.53798658354074,-14963.972142600673
8620,22.03,22.03,22.02,22.025,7294.0,22.025912030545783,-36.29842681975383,37.49999999999889,24.99999999999556,24.99999999999556,4.761904761903473,28.57142857143099,59.76933150980182,-14963.972142600673
8621,22.02,22.03,22.02,22.03,903.0,22.027274687030527,-92.0581289843112,44.44444444444619,50.00000000000888,33.3333333333333,4.545454545453224,22.72727272727581,60.85537996427248,-14963.767148276042
8622,22.025,22.03,22.025,22.025,2355.0,22.02651645802036,-77.07370972688022,44.44444444444269,24.99999999999556,33.33333333333331,4.761904761903312,19.04761904762001,59.82614019819098,-14964.3016466873
8623,22.025,22.035,22.025,22.03,14272.0,22.02767763868024,39.48828882832901,44.44444444444708,66.66666666667456,47.2222222222263,4.761904761903151,19.047619047619367,60.37115236364128,-14961.061692090248
8624,22.035,22.035,22.03,22.035,3868.0,22.030118425786828,-61.47538262341888,50.0,100.0,63.888888888890015,4.761904761903151,19.047619047619367,61.01275637366627,-14960.18379830904
8625,22.035,22.035,22.035,22.035,998.0,22.03174561719122,-89.93819754604938,55.55555555555292,100.0,88.88888888889149,5.263157894735072,15.789473684208952,60.61928941004312,-14960.18379830904
8626,22.035,22.035,22.035,22.035,1451.0,22.03283041146081,-85.21248768556579,55.55555555555292,100.0,100.0,5.555555555553582,16.666666666664693,60.22582244641997,-14960.18379830904
8627,22.035,22.035,22.015,22.02,24882.0,22.028553607640543,157.18316798423396,41.66666666666716,24.99999999999556,74.99999999999848,4.761904761903151,33.333333333328824,61.49902214946318,-14977.121851406388
8628,22.025,22.025,22.02,22.02,4079.0,22.0257024050937,-56.9572122258823,36.3636363636393,24.99999999999556,49.99999999999701,4.761904761903151,33.333333333328824,63.61459043981577,-14977.121851406388
8629,22.025,22.025,22.025,22.025,1028.0,22.02546827006247,-88.97394002881649,45.45454545454428,49.99999999999112,33.33333333332738,4.761904761903151,33.333333333328824,65.73015873016836,-14976.888427246531
8630,22.025,22.025,22.025,22.025,1744.0,22.025312180041645,-80.17873988005712,50.0,49.99999999999112,41.66666666665923,5.263157894735072,31.578947368414163,65.73015873016779,-14976.888427246531
8631,22.025,22.025,22.025,22.025,3878.0,22.025208120027763,-56.03133060592032,44.44444444444269,49.99999999999112,49.99999999999112,5.882352941174504,29.4117647058767,65.41269841270694,-14976.888427246531
8632,22.025,22.035,22.025,22.025,27695.0,22.025138746685176,204.60677185013284,50.0,49.99999999999112,49.99999999999112,16.66666666666535,27.77777777777296,62.634920634928086,-14976.888427246531
8633,22.025,22.03,22.025,22.025,1271.0,22.02509249779012,-85.87317347876345,50.0,49.99999999999112,49.99999999999112,16.66666666666535,27.77777777777296,59.85714285714923,-14976.888427246531
8634,22.025,22.025,22.02,22.02,2088.0,22.023394998526747,-76.7214997240695,44.44444444444619,24.99999999999556,41.66666666665923,16.666666666666007,33.33333333332807,57.63492063492586,-14977.362434056977
8635,22.025,22.03,22.02,22.025,2479.0,22.02392999901783,-72.3982051596094,50.0,49.99999999999112,41.66666666665923,22.222222222223976,27.777777777774048,53.61375661376056,-14976.799536690944
8636,22.025,22.025,22.0245,22.025,1675.0,22.02428666601189,-80.7314753746338,44.44444444444181,49.99999999999112,41.66666666665923,24.844720496896983,31.055900621114613,49.91005291005536,-14976.799536690944
8637,22.025,22.03,22.025,22.025,2958.0,22.024524444007927,-65.74690770694576,50.0,49.99999999999112,49.99999999999112,31.05590062112344,31.055900621114613,45.91005291005556,-14976.799536690944
8638,22.025,22.025,22.02,22.02,1829.0,22.023016296005288,-78.7784558977096,37.49999999999667,24.99999999999556,41.66666666665923,26.49006622517382,39.73509933774426,43.2433862433868,-14977.214746679592
8639,22.02,22.025,21.99,21.995,39511.0,22.0136775306702,328.3499566348655,16.666666666664696,11.111111111116374,28.703703703700985,18.957345971569804,56.87203791468921,42.576719576718496,-15022.072830239991
8640,21.99,22.005,21.99,21.99,38823.0,22.0057850204468,295.68402760673143,15.384615384612855,0.0,12.037037037037278,16.597510373449058,49.79253112032949,42.57671957671701,-15030.89824510701
8641,21.99,21.995,21.985,21.9902,11261.0,22.0005900136312,14.648449430881058,15.644171779142596,10.400000000004036,7.170370370373437,15.325670498088828,49.80842911877031,42.77279800808808,-15030.795825825517
8642,21.995,22.005,21.99,21.995,17630.0,21.99872667575413,75.16783191306854,27.27272727272845,20.00000000000284,10.133333333335592,23.90438247012213,35.85657370517612,39.106131341420486,-15026.947566146204
8643,21.995,22.005,21.995,22.0,5317.0,21.999151117169426,-47.35130978098528,33.33333333333333,30.00000000000071,20.13333333333583,22.98850574712916,34.48275862068693,35.4394646747529,-15025.738882354432
8644,22.0,22.005,21.99,22.0021,19067.0,22.00013407811295,84.35046602467419,29.94746059544609,34.199999999997964,28.06666666666713,21.35231316726213,35.5871886120985,32.10613134141882,-15023.91885053625
8645,22.005,22.0099,21.99,22.0099,20405.0,22.003389385408635,91.82048498009412,38.36671802773436,49.79999999999692,37.9999999999985,21.75810473815621,31.17206982543562,28.529935256388303,-15016.685041036248
8646,22.005,22.005,21.985,21.995,8146.0,22.00059292360576,-23.90258484590881,31.20300751879737,20.00000000000284,34.66666666666588,18.834322719915253,29.68159740960507,25.576035861998843,-15022.199623110677
8647,21.99,22.0,21.99,21.995,6329.0,21.99872861573717,-41.04597060526696,31.20300751879737,22.22222222222485,30.67407407407484,13.43766864544073,29.68159740960507,26.42084186950824,-15022.199623110677
8648,21.995,21.995,21.985,21.985,4345.0,21.99415241049145,-59.61345412633692,27.72828507795068,0.0,14.074074074075869,13.08460325801462,31.52916447714,27.510358948424585,-15024.175072076352
8649,21.985,21.9999,21.975,21.985,33033.0,21.991101606994302,195.21734143823835,29.363207547169186,18.181818181814656,13.468013468013137,11.84586108468216,30.922930542338968,28.261811179298395,-15024.175072076352
